Date,Sales
2023-06-16,135.26
2023-06-17,147.37
2023-06-18,132.02
2023-06-19,133.0
2023-06-20,133.0
2023-06-21,129.22
2023-06-22,129.48
2023-06-23,129.14
2023-06-24,129.85
2023-06-25,141.42
2023-06-26,139.34
2023-06-27,155.1
2023-06-28,133.4
2023-06-29,156.11
2023-06-30,130.64
2023-07-01,117.16
2023-07-02,121.09
2023-07-03,142.68
2023-07-04,136.97
2023-07-05,141.82
2023-07-06,132.28
2023-07-07,122.3
2023-07-08,115.91
2023-07-09,115.29
2023-07-10,132.04
2023-07-11,146.42
2023-07-12,135.48
2023-07-13,113.75
2023-07-14,123.42
2023-07-15,126.9
2023-07-16,120.27
2023-07-17,136.71
2023-07-18,137.12
2023-07-19,120.59
2023-07-20,128.48
2023-07-21,125.99
2023-07-22,132.58
2023-07-23,138.36
2023-07-24,120.13
2023-07-25,125.89
2023-07-26,135.92
2023-07-27,128.79
2023-07-28,124.31
2023-07-29,159.06
2023-07-30,132.33
2023-07-31,144.06
2023-08-01,143.63
2023-08-02,136.12
2023-08-03,119.35
2023-08-04,125.61
2023-08-05,111.68
2023-08-06,123.14
2023-08-07,126.76
2023-08-08,133.83
2023-08-09,151.69
2023-08-10,102.79
2023-08-11,123.85
2023-08-12,102.27
2023-08-13,119.8
2023-08-14,141.54
2023-08-15,132.71
2023-08-16,116.83
2023-08-17,113.4
2023-08-18,122.9
2023-08-19,110.23
2023-08-20,125.84
2023-08-21,130.28
2023-08-22,124.75
2023-08-23,148.27
2023-08-24,126.13
2023-08-25,95.12
2023-08-26,118.69
2023-08-27,116.37
2023-08-28,137.69
2023-08-29,122.7
2023-08-30,125.07
2023-08-31,124.26
2023-09-01,123.47
2023-09-02,104.29
2023-09-03,119.14
2023-09-04,123.93
2023-09-05,123.64
2023-09-06,143.45
2023-09-07,122.86
2023-09-08,101.83
2023-09-09,125.12
2023-09-10,143.39
2023-09-11,138.72
2023-09-12,114.72
2023-09-13,120.72
2023-09-14,131.27
2023-09-15,107.19
2023-09-16,120.24
2023-09-17,129.8
2023-09-18,119.04
2023-09-19,129.26
2023-09-20,93.12
2023-09-21,108.36
2023-09-22,111.77
2023-09-23,103.39
2023-09-24,138.47
2023-09-25,114.13
2023-09-26,125.61
2023-09-27,127.03
2023-09-28,133.24
2023-09-29,100.19
2023-09-30,127.77
2023-10-01,122.56
2023-10-02,118.96
2023-10-03,135.0
2023-10-04,128.11
2023-10-05,113.26
2023-10-06,115.71
2023-10-07,112.78
2023-10-08,124.12
2023-10-09,135.95
2023-10-10,146.83
2023-10-11,114.37
2023-10-12,141.24
2023-10-13,96.17
2023-10-14,115.83
2023-10-15,129.61
2023-10-16,132.91
2023-10-17,125.55
2023-10-18,125.5
2023-10-19,115.84
2023-10-20,110.69
2023-10-21,126.77
2023-10-22,128.25
2023-10-23,124.16
2023-10-24,141.79
2023-10-25,131.7
2023-10-26,129.97
2023-10-27,123.98
2023-10-28,111.12
2023-10-29,120.24
2023-10-30,139.75
2023-10-31,140.11
2023-11-01,129.66
2023-11-02,124.29
2023-11-03,131.76
2023-11-04,114.82
2023-11-05,132.66
2023-11-06,131.63
2023-11-07,133.23
2023-11-08,142.29
2023-11-09,132.83
2023-11-10,128.61
2023-11-11,135.3
2023-11-12,128.94
2023-11-13,142.03
2023-11-14,133.89
2023-11-15,136.15
2023-11-16,124.91
2023-11-17,123.09
2023-11-18,129.87
2023-11-19,122.24
2023-11-20,157.86
2023-11-21,128.68
2023-11-22,122.53
2023-11-23,139.57
2023-11-24,131.85
2023-11-25,131.99
2023-11-26,138.56
2023-11-27,138.68
2023-11-28,131.65
2023-11-29,137.33
2023-11-30,123.14
2023-12-01,135.62
2023-12-02,126.23
2023-12-03,125.99
2023-12-04,137.58
2023-12-05,146.76
2023-12-06,132.96
2023-12-07,123.73
2023-12-08,130.36
2023-12-09,132.22
2023-12-10,131.26
2023-12-11,138.17
2023-12-12,147.05
2023-12-13,126.23
2023-12-14,120.0
2023-12-15,122.88
2023-12-16,129.78
2023-12-17,141.59
2023-12-18,159.81
2023-12-19,155.49
2023-12-20,141.3
2023-12-21,136.08
2023-12-22,122.24
2023-12-23,133.94
2023-12-24,137.81
2023-12-25,150.5
2023-12-26,140.87
2023-12-27,150.33
2023-12-28,153.84
2023-12-29,133.42
2023-12-30,140.39
2023-12-31,149.85
2024-01-01,145.51
2024-01-02,153.63
2024-01-03,147.51
2024-01-04,141.74
2024-01-05,129.03
2024-01-06,138.87
2024-01-07,150.18
2024-01-08,166.28
2024-01-09,163.23
2024-01-10,171.16
2024-01-11,135.33
2024-01-12,147.72
2024-01-13,142.69
2024-01-14,169.33
2024-01-15,145.91
2024-01-16,147.46
2024-01-17,145.85
2024-01-18,123.97
2024-01-19,135.94
2024-01-20,135.46
2024-01-21,151.11
2024-01-22,159.59
2024-01-23,176.78
2024-01-24,163.5
2024-01-25,141.59
2024-01-26,134.34
2024-01-27,150.09
2024-01-28,138.52
2024-01-29,176.58
2024-01-30,171.9
2024-01-31,151.38
2024-02-01,132.28
2024-02-02,158.91
2024-02-03,146.05
2024-02-04,166.11
2024-02-05,144.32
2024-02-06,156.09
2024-02-07,158.09
2024-02-08,151.83
2024-02-09,142.8
2024-02-10,155.34
2024-02-11,144.95
2024-02-12,160.72
2024-02-13,165.15
2024-02-14,165.01
2024-02-15,160.3
2024-02-16,137.85
2024-02-17,135.55
2024-02-18,170.16
2024-02-19,167.2
2024-02-20,158.17
2024-02-21,177.07
2024-02-22,156.0
2024-02-23,162.53
2024-02-24,153.18
2024-02-25,179.59
2024-02-26,183.0
2024-02-27,164.71
2024-02-28,172.8
2024-02-29,162.8
2024-03-01,165.9
2024-03-02,144.3
2024-03-03,167.26
2024-03-04,177.43
2024-03-05,150.98
2024-03-06,152.59
2024-03-07,137.26
2024-03-08,150.8
2024-03-09,162.39
2024-03-10,176.65
2024-03-11,168.78
2024-03-12,186.03
2024-03-13,151.76
2024-03-14,141.74
2024-03-15,154.03
2024-03-16,160.11
2024-03-17,162.33
2024-03-18,148.37
2024-03-19,169.82
2024-03-20,153.46
2024-03-21,166.38
2024-03-22,159.13
2024-03-23,147.72
2024-03-24,158.34
2024-03-25,159.24
2024-03-26,170.84
2024-03-27,176.78
2024-03-28,150.52
2024-03-29,161.17
2024-03-30,152.45
2024-03-31,156.15
2024-04-01,169.33
2024-04-02,161.66
2024-04-03,162.21
2024-04-04,148.88
2024-04-05,176.23
2024-04-06,158.52
2024-04-07,157.47
2024-04-08,172.9
2024-04-09,171.22
2024-04-10,165.83
2024-04-11,167.26
2024-04-12,164.39
2024-04-13,153.07
2024-04-14,158.88
2024-04-15,168.15
2024-04-16,149.43
2024-04-17,152.97
2024-04-18,174.84
2024-04-19,173.28
2024-04-20,155.87
2024-04-21,170.36
2024-04-22,173.94
2024-04-23,203.14
2024-04-24,179.18
2024-04-25,159.73
2024-04-26,147.09
2024-04-27,142.08
2024-04-28,166.39
2024-04-29,162.99
2024-04-30,157.82
2024-05-01,161.19
2024-05-02,149.84
2024-05-03,173.13
2024-05-04,166.55
2024-05-05,163.83
2024-05-06,184.89
2024-05-07,172.32
2024-05-08,158.52
2024-05-09,175.34
2024-05-10,161.07
2024-05-11,146.76
2024-05-12,161.38
2024-05-13,160.68
2024-05-14,157.05
2024-05-15,175.7
2024-05-16,178.48
2024-05-17,140.95
2024-05-18,161.99
2024-05-19,155.99
2024-05-20,163.75
2024-05-21,164.12
2024-05-22,156.94
2024-05-23,158.99
2024-05-24,145.73
2024-05-25,158.15
2024-05-26,161.05
2024-05-27,165.28
2024-05-28,159.99
2024-05-29,158.82
2024-05-30,165.04
2024-05-31,158.01
2024-06-01,144.62
2024-06-02,161.48
2024-06-03,174.09
2024-06-04,151.27
2024-06-05,168.9
2024-06-06,149.73
2024-06-07,157.56
2024-06-08,145.6
2024-06-09,141.26
2024-06-10,149.12
2024-06-11,167.24
2024-06-12,164.85
2024-06-13,146.09
2024-06-14,157.01
2024-06-15,135.37
2024-06-16,157.39
2024-06-17,152.01
2024-06-18,158.96
2024-06-19,161.44
2024-06-20,145.23
2024-06-21,145.47
2024-06-22,160.74
2024-06-23,150.97
2024-06-24,171.16
2024-06-25,152.86
2024-06-26,164.93
2024-06-27,166.91
2024-06-28,123.26
2024-06-29,141.36
2024-06-30,161.16
2024-07-01,159.42
2024-07-02,166.51
2024-07-03,152.24
2024-07-04,152.01
2024-07-05,145.06
2024-07-06,159.65
2024-07-07,156.58
2024-07-08,163.47
2024-07-09,157.33
2024-07-10,152.05
2024-07-11,145.47
2024-07-12,149.22
2024-07-13,142.42
2024-07-14,155.59
2024-07-15,179.51
2024-07-16,168.83
2024-07-17,152.34
2024-07-18,160.49
2024-07-19,139.88
2024-07-20,124.95
2024-07-21,141.32
2024-07-22,138.77
2024-07-23,155.33
2024-07-24,154.52
2024-07-25,163.98
2024-07-26,145.99
2024-07-27,141.9
2024-07-28,158.47
2024-07-29,134.15
2024-07-30,160.0
2024-07-31,160.86
2024-08-01,131.26
2024-08-02,153.0
2024-08-03,146.33
2024-08-04,144.9
2024-08-05,161.48
2024-08-06,179.25
2024-08-07,153.89
2024-08-08,147.47
2024-08-09,135.92
2024-08-10,133.42
2024-08-11,156.34
2024-08-12,145.6
2024-08-13,156.29
2024-08-14,146.34
2024-08-15,148.84
2024-08-16,142.94
2024-08-17,151.4
2024-08-18,142.07
2024-08-19,150.61
2024-08-20,144.96
2024-08-21,145.87
2024-08-22,147.04
2024-08-23,146.41
2024-08-24,131.07
2024-08-25,155.15
2024-08-26,166.17
2024-08-27,158.21
2024-08-28,168.43
2024-08-29,134.91
2024-08-30,125.8
2024-08-31,121.93
2024-09-01,160.87
2024-09-02,158.65
2024-09-03,153.03
2024-09-04,152.0
2024-09-05,130.96
2024-09-06,162.3
2024-09-07,140.63
2024-09-08,146.65
2024-09-09,159.03
2024-09-10,158.1
2024-09-11,151.18
2024-09-12,134.07
2024-09-13,142.34
2024-09-14,157.98
2024-09-15,158.86
2024-09-16,167.59
2024-09-17,148.09
2024-09-18,138.98
2024-09-19,140.68
2024-09-20,138.18
2024-09-21,150.13
2024-09-22,128.54
2024-09-23,167.04
2024-09-24,151.74
2024-09-25,144.75
2024-09-26,132.0
2024-09-27,121.28
2024-09-28,147.66
2024-09-29,146.47
2024-09-30,139.14
2024-10-01,140.7
2024-10-02,146.03
2024-10-03,159.2
2024-10-04,135.66
2024-10-05,124.85
2024-10-06,143.76
2024-10-07,149.84
2024-10-08,127.23
2024-10-09,149.42
2024-10-10,140.82
2024-10-11,145.86
2024-10-12,159.05
2024-10-13,158.19
2024-10-14,150.61
2024-10-15,143.9
2024-10-16,176.5
2024-10-17,144.54
2024-10-18,139.9
2024-10-19,141.2
2024-10-20,149.82
2024-10-21,152.8
2024-10-22,150.21
2024-10-23,146.3
2024-10-24,144.66
2024-10-25,135.39
2024-10-26,135.41
2024-10-27,150.03
2024-10-28,152.85
2024-10-29,172.16
2024-10-30,126.47
2024-10-31,157.14
2024-11-01,154.55
2024-11-02,123.1
2024-11-03,146.86
2024-11-04,153.03
2024-11-05,144.42
2024-11-06,146.6
2024-11-07,136.55
2024-11-08,161.06
2024-11-09,154.67
2024-11-10,164.5
2024-11-11,165.49
2024-11-12,148.76
2024-11-13,150.71
2024-11-14,154.15
2024-11-15,132.95
2024-11-16,154.09
2024-11-17,151.06
2024-11-18,156.22
2024-11-19,168.88
2024-11-20,162.14
2024-11-21,147.4
2024-11-22,158.54
2024-11-23,137.95
2024-11-24,161.44
2024-11-25,167.74
2024-11-26,160.53
2024-11-27,162.84
2024-11-28,140.4
2024-11-29,158.11
2024-11-30,148.85
2024-12-01,152.01
2024-12-02,174.27
2024-12-03,158.57
2024-12-04,147.49
2024-12-05,139.36
2024-12-06,156.96
2024-12-07,139.94
2024-12-08,176.84
2024-12-09,145.03
2024-12-10,184.67
2024-12-11,165.79
2024-12-12,156.08
2024-12-13,147.57
2024-12-14,158.87
2024-12-15,161.07
2024-12-16,179.04
2024-12-17,171.01
2024-12-18,167.36
2024-12-19,155.59
2024-12-20,154.65
2024-12-21,160.16
2024-12-22,146.55
2024-12-23,156.74
2024-12-24,179.52
2024-12-25,169.79
2024-12-26,159.62
2024-12-27,157.64
2024-12-28,162.79
2024-12-29,160.5
2024-12-30,164.69
2024-12-31,176.3
2025-01-01,160.55
2025-01-02,167.79
2025-01-03,142.68
2025-01-04,171.86
2025-01-05,172.87
2025-01-06,177.28
2025-01-07,186.41
2025-01-08,189.23
2025-01-09,176.1
2025-01-10,143.54
2025-01-11,151.01
2025-01-12,164.13
2025-01-13,177.21
2025-01-14,183.99
2025-01-15,167.54
2025-01-16,170.04
2025-01-17,156.6
2025-01-18,159.9
2025-01-19,158.51
2025-01-20,169.91
2025-01-21,167.47
2025-01-22,167.21
2025-01-23,180.86
2025-01-24,156.81
2025-01-25,194.47
2025-01-26,179.63
2025-01-27,183.1
2025-01-28,174.51
2025-01-29,186.06
2025-01-30,166.65
2025-01-31,169.58
2025-02-01,195.79
2025-02-02,175.77
2025-02-03,194.76
2025-02-04,178.06
2025-02-05,180.69
2025-02-06,192.08
2025-02-07,164.05
2025-02-08,190.25
2025-02-09,185.73
2025-02-10,179.54
2025-02-11,193.3
2025-02-12,192.63
2025-02-13,182.43
2025-02-14,156.44
2025-02-15,166.66
2025-02-16,177.96
2025-02-17,186.18
2025-02-18,194.92
2025-02-19,186.4
2025-02-20,164.55
2025-02-21,177.61
2025-02-22,181.69
2025-02-23,187.65
2025-02-24,199.34
2025-02-25,198.63
2025-02-26,190.76
2025-02-27,178.74
2025-02-28,158.7
2025-03-01,181.35
2025-03-02,185.58
2025-03-03,192.67
2025-03-04,178.92
2025-03-05,176.73
2025-03-06,191.31
2025-03-07,176.24
2025-03-08,185.16
2025-03-09,185.06
2025-03-10,191.49
2025-03-11,202.28
2025-03-12,183.56
2025-03-13,182.9
2025-03-14,173.13
2025-03-15,175.1
2025-03-16,182.75
2025-03-17,194.45
2025-03-18,189.12
2025-03-19,202.26
2025-03-20,173.94
2025-03-21,176.8
2025-03-22,175.93
2025-03-23,201.17
2025-03-24,195.02
2025-03-25,205.02
2025-03-26,175.61
2025-03-27,186.29
2025-03-28,188.27
2025-03-29,181.83
2025-03-30,197.99
2025-03-31,188.49
2025-04-01,209.38
2025-04-02,214.01
2025-04-03,180.51
2025-04-04,175.41
2025-04-05,196.0
2025-04-06,203.56
2025-04-07,188.83
2025-04-08,191.44
2025-04-09,188.53
2025-04-10,171.0
2025-04-11,170.95
2025-04-12,171.66
2025-04-13,180.3
2025-04-14,193.89
2025-04-15,198.14
2025-04-16,206.97
2025-04-17,174.54
2025-04-18,190.04
2025-04-19,179.59
2025-04-20,187.48
2025-04-21,200.96
2025-04-22,184.5
2025-04-23,195.2
2025-04-24,186.07
2025-04-25,184.97
2025-04-26,184.44
2025-04-27,212.31
2025-04-28,187.59
2025-04-29,190.15
2025-04-30,184.85
2025-05-01,178.52
2025-05-02,173.31
2025-05-03,193.06
2025-05-04,201.56
2025-05-05,187.83
2025-05-06,186.68
2025-05-07,195.31
2025-05-08,178.04
2025-05-09,185.48
2025-05-10,182.63
2025-05-11,171.6
2025-05-12,208.39
2025-05-13,212.32
2025-05-14,183.8
2025-05-15,179.0
2025-05-16,181.29
2025-05-17,183.21
2025-05-18,192.58
2025-05-19,212.23
2025-05-20,191.78
2025-05-21,181.11
2025-05-22,168.23
2025-05-23,170.25
2025-05-24,178.64
2025-05-25,203.03
2025-05-26,186.02
2025-05-27,194.83
2025-05-28,187.96
2025-05-29,192.91
2025-05-30,201.82
2025-05-31,172.63
2025-06-01,179.14
2025-06-02,200.57
2025-06-03,198.33
2025-06-04,205.49
2025-06-05,185.76
2025-06-06,171.83
2025-06-07,182.7
2025-06-08,193.97
2025-06-09,197.17
2025-06-10,195.4
2025-06-11,196.49
2025-06-12,190.4
2025-06-13,188.02
2025-06-14,182.05
2025-06-15,179.96
2025-06-16,189.17
2025-06-17,201.13
2025-06-18,176.38
2025-06-19,181.11
2025-06-20,168.97
2025-06-21,174.55
2025-06-22,193.11
2025-06-23,188.3
2025-06-24,188.21
2025-06-25,169.62
2025-06-26,183.55
2025-06-27,178.02
2025-06-28,194.55
2025-06-29,175.9
2025-06-30,187.23
2025-07-01,188.88
2025-07-02,197.64
2025-07-03,173.78
2025-07-04,173.0
2025-07-05,177.64
2025-07-06,179.49
2025-07-07,179.22
2025-07-08,186.98
2025-07-09,191.25
2025-07-10,163.11
2025-07-11,170.19
2025-07-12,163.21
2025-07-13,188.23
2025-07-14,167.11
2025-07-15,178.11
2025-07-16,182.96
2025-07-17,187.71
2025-07-18,166.89
2025-07-19,163.35
2025-07-20,193.79
2025-07-21,166.57
2025-07-22,160.43
2025-07-23,182.31
2025-07-24,165.77
2025-07-25,156.07
2025-07-26,174.74
2025-07-27,176.18
2025-07-28,174.18
2025-07-29,168.4
2025-07-30,185.43
2025-07-31,176.1
2025-08-01,164.12
2025-08-02,184.96
2025-08-03,161.89
2025-08-04,163.44
2025-08-05,173.16
2025-08-06,175.15
2025-08-07,170.95
2025-08-08,161.63
2025-08-09,168.96
2025-08-10,159.04
2025-08-11,192.11
2025-08-12,178.26
2025-08-13,185.8
2025-08-14,170.98
2025-08-15,167.67
2025-08-16,170.22
2025-08-17,175.14
2025-08-18,183.23
2025-08-19,191.52
2025-08-20,175.76
2025-08-21,173.83
2025-08-22,161.41
2025-08-23,178.16
2025-08-24,163.15
2025-08-25,194.09
2025-08-26,177.13
2025-08-27,158.81
2025-08-28,167.38
2025-08-29,154.88
2025-08-30,171.56
2025-08-31,162.82
2025-09-01,171.07
2025-09-02,158.12
2025-09-03,168.1
2025-09-04,141.39
2025-09-05,145.41
2025-09-06,170.35
2025-09-07,176.81
2025-09-08,179.42
2025-09-09,167.01
2025-09-10,171.84
2025-09-11,165.31
2025-09-12,149.42
2025-09-13,177.56
2025-09-14,177.54
2025-09-15,172.8
2025-09-16,176.82
2025-09-17,174.3
2025-09-18,144.86
2025-09-19,158.49
2025-09-20,155.69
2025-09-21,158.77
2025-09-22,172.25
2025-09-23,194.61
2025-09-24,178.74
2025-09-25,159.71
2025-09-26,166.85
2025-09-27,176.71
2025-09-28,178.26
2025-09-29,175.92
2025-09-30,170.45
2025-10-01,179.64
2025-10-02,169.71
2025-10-03,170.47
2025-10-04,169.49
2025-10-05,179.96
2025-10-06,170.45
2025-10-07,190.61
2025-10-08,175.17
2025-10-09,187.1
2025-10-10,155.23
2025-10-11,181.13
2025-10-12,172.11
2025-10-13,169.99
2025-10-14,173.32
2025-10-15,170.75
2025-10-16,171.38
2025-10-17,168.17
2025-10-18,158.88
2025-10-19,170.77
2025-10-20,198.83
2025-10-21,196.38
2025-10-22,179.29
2025-10-23,168.52
2025-10-24,165.17
2025-10-25,171.81
2025-10-26,161.87
2025-10-27,175.95
2025-10-28,163.56
2025-10-29,180.09
2025-10-30,175.81
2025-10-31,160.37
2025-11-01,182.68
2025-11-02,161.13
2025-11-03,165.2
2025-11-04,183.83
2025-11-05,187.94
2025-11-06,187.57
2025-11-07,162.03
2025-11-08,179.17
2025-11-09,174.47
2025-11-10,179.61
2025-11-11,191.95
2025-11-12,185.54
2025-11-13,156.54
2025-11-14,182.98
2025-11-15,183.8
2025-11-16,170.24
2025-11-17,186.96
2025-11-18,189.74
2025-11-19,183.33
2025-11-20,168.53
2025-11-21,163.25
2025-11-22,171.52
2025-11-23,190.02
2025-11-24,190.25
2025-11-25,182.93
2025-11-26,190.3
2025-11-27,147.43
2025-11-28,183.35
2025-11-29,156.29
2025-11-30,176.6
2025-12-01,175.57
2025-12-02,175.65
2025-12-03,196.17
2025-12-04,173.23
2025-12-05,177.34
2025-12-06,175.25
2025-12-07,187.04
2025-12-08,189.59
2025-12-09,177.84
2025-12-10,196.61
2025-12-11,175.07
2025-12-12,160.42
2025-12-13,173.56
2025-12-14,199.41
2025-12-15,199.47
2025-12-16,189.34
2025-12-17,185.32
2025-12-18,178.97
2025-12-19,198.94
2025-12-20,183.85
2025-12-21,190.9
2025-12-22,203.48
2025-12-23,197.43
2025-12-24,188.44
2025-12-25,182.44
2025-12-26,179.68
2025-12-27,181.89
2025-12-28,196.12
2025-12-29,195.94
2025-12-30,204.61
2025-12-31,192.47
